Name;Name2;Ordnung;Ordnung-lt;Familie;Familie-lt;Gattung;Art;Sorte;Winterhart;Staude;Preis;Karlsgarten;jährig;Synonym1;Varietät;Name3;Synonym2;link
Baldrian;Echter Arznei Baldrian;Kardenartige;Dipsacales;Baldriangewächse;Valerianaceae;Valeriana;officinalis;;1;1;A;0;1;;;;;
Beifuß;Gewöhnlicher Beifuß;Asternartige;Asterales;Korbblütler;Asteraceae;Artemisia;vulgaris;;1;0;A;0;1;;;;;
Beinwell;;Nachtschattenartige;Solanales;Rauhblattgewächse;Boraginaceae;Symphytum;officinalis;;1;1;B;0;1;Comfrey;;;;
Zitronenbohnenkraut;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Satureja;montana;;1;0;B;0;1;;citriodora;;;
Eberraute;;Asternartige;Asterales;Korbblütler;Asteraceae;Artemisia;abrotanum;;1;0;B;1;1;;;;;
Eibisch;;Malvenartige;Malvales;Malvengewächse;Malvaceae;Althea;officinalis;;1;0;B;1;1;;;;;
französischer Estragon;;Asternartige;Asterales;Korbblütler;Asteraceae;Artemisia;dracunculus;;1;0;B;0;1;;;;;
russischer Estragon;;Asternartige;Asterales;Korbblütler;Asteraceae;Artemisia;dracunculus;;1;0;A;1;1;;;;;
Kren;Meerrettich;Kapernartige;Capparales;Kreuzblütengewächse;Brassicaceae;Armoracia;rusticana;;1;0;A;0;1;;;;;
Lavendel;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Lavandula;angustifolia;;1;0;B;0;1;;;;;
Liebstock;Liebstöckel;Doldenblütlerartige;Apiales;Doldengewächse;Apiaceae;Levisticum;officinale;;1;1;A;1;1;;;Maggikraut;;
Oregano;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Origanum;vulgare;;1;0;A;0;1;;;;;
griechischer Oregano;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Origanum;vulgare;;1;0;B;0;1;;viridulum;;;
syrischer Oregano;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Origanum;syriacum;;1;0;B;0;1;;;;;
Pimpinelle;;Rosenartige;Rosales;Rosengewächse;Rosaceae;Sanguisorba;minor;;1;0;A;0;1;;;;;
Rhabarber;;Knöterichartige;Polygonales;Knöterichgewächse;Polygonaceae;Rheum;rhabarbarum;;1;0;B;0;1;;;;;
Rosmarin;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Rosmarinus;officinalis;;1;0;B;1;1;;;;;
Salbei Standard;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;officinalis;;1;0;A;1;1;;;;;
Salbei breitblättrig;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;officinalis;;1;0;B;0;1;;;;;
Salbei gelblaubig;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;officinalis;;1;0;B;0;1;;;;;
Salbei rotlaubig;;Lippenblütlerartige;Lamiales;Lippenblütler;Lamiaceae;Salvia;officinalis;;1;0;B;0;1;;;;;
